user_id,location,duration,budget,mood,preferences,poi_name,rating
210,Delhi,5,high,Luxury,"architecture,shopping",Lotus Temple,5
211,Sikkim,2,high,Foodie,"history,wildlife,urban hotspots",Rumtek Monastery,4
212,Jaisalmer,9,medium,Cultural,"nature,beaches,food",Jaisalmer Fort,4
213,Goa,11,medium,Relaxed,"urban hotspots,spiritual,beaches",Anjuna Beach,4
214,Coorg,14,high,Relaxed,adventure,Nisargadhama,5
215,Hyderabad,7,low,Adventure,"shopping,nature,urban hotspots",Hussain Sagar Lake,5
216,Andaman,11,high,Luxury,"nature,urban hotspots",Ross Island,5
217,Jaisalmer,10,low,Foodie,"food,architecture,urban hotspots",Sam Sand Dunes,3
218,Pondicherry,8,high,Luxury,entertainment,Botanical Garden,5
219,Andaman,13,medium,Foodie,spiritual,Radhanagar Beach,4
220,Pondicherry,9,medium,Romantic,"architecture,food",Aurobindo Ashram,5
221,Mysore,3,low,Cultural,urban hotspots,Chamundi Hill,3
222,Pushkar,8,low,Luxury,wildlife,Savitri Temple,3
223,Delhi,6,high,Romantic,"urban hotspots,art",India Gate,3
224,Pondicherry,11,medium,Relaxed,wildlife,Promenade Beach,3
225,Jaisalmer,13,medium,Adventure,"entertainment,food,nature",Gadisar Lake,5
226,Pushkar,3,high,Cultural,"wildlife,spiritual,adventure",Pushkar Lake,3
227,Kolkata,8,low,Relaxed,"shopping,food,entertainment",St. Paul's Cathedral,4
228,Bodhgaya,9,high,Busy,"wildlife,art,urban hotspots",Great Buddha Statue,5
229,Pondicherry,4,low,Cultural,"urban hotspots,spiritual,beaches",Botanical Garden,4
230,Bodhgaya,14,low,Relaxed,"temples,history,entertainment",Mahabodhi Temple,4
231,Leh,6,high,Romantic,"entertainment,spiritual",Leh Palace,5
232,Leh,9,medium,Relaxed,temples,Magnetic Hill,3
233,Delhi,4,medium,Busy,"spiritual,urban hotspots",Qutub Minar,4
234,Andaman,5,high,Relaxed,nature,Havelock Island,4
235,Pushkar,13,low,Cultural,"shopping,spiritual",Pushkar Lake,4
236,Leh,8,low,Adventure,"spiritual,entertainment,shopping",Shanti Stupa,3
237,Amritsar,7,high,Relaxed,spiritual,Durgiana Temple,3
238,Mysore,5,medium,Relaxed,architecture,Rail Museum,4
239,Bodhgaya,5,medium,Cultural,history,Great Buddha Statue,4
240,Jaisalmer,7,low,Luxury,"adventure,shopping",Sam Sand Dunes,4
241,Pushkar,4,high,Aesthetic,"architecture,urban hotspots",Savitri Temple,4
242,Hyderabad,11,low,Adventure,"temples,shopping",Hussain Sagar Lake,3
243,Delhi,10,medium,Cultural,"architecture,urban hotspots,temples",Humayun's Tomb,3
244,Rishikesh,6,high,Busy,"food,history,temples",Triveni Ghat,4
245,Leh,8,low,Relaxed,"history,wildlife",Pangong Lake,5
246,Amritsar,12,high,Cultural,history,Wagah Border,3
247,Darjeeling,13,medium,Busy,wildlife,Botanical Garden,4
248,Andaman,3,low,Romantic,shopping,Ross Island,3
249,Hampi,12,low,Busy,"architecture,entertainment,spiritual",Matanga Hill,4
250,Jaisalmer,7,low,Cultural,entertainment,Salim Singh Ki Haveli,4
251,Pushkar,8,low,Cultural,shopping,Savitri Temple,5
252,Kolkata,3,low,Luxury,"architecture,art",St. Paul's Cathedral,4
253,Sikkim,2,low,Relaxed,art,Rumtek Monastery,5
254,Pushkar,2,low,Cultural,"shopping,beaches,temples",Varaha Temple,4
255,Chennai,14,low,Foodie,history,Kapaleeshwarar Temple,3
256,Mumbai,6,medium,Cultural,"temples,beaches,spiritual",Elephanta Caves,4
257,Darjeeling,5,low,Adventure,"art,adventure,temples",Darjeeling Himalayan Railway,4
258,Coorg,8,low,Foodie,"history,urban hotspots",Raja's Seat,5
259,Jaipur,5,low,Busy,architecture,Hawa Mahal,5
260,Kolkata,14,low,Aesthetic,"nature,wildlife",Howrah Bridge,3
261,Bodhgaya,4,low,Relaxed,"spiritual,temples,beaches",Bodhi Tree,5
262,Shimla,5,low,Luxury,"nature,food",Jakhoo Temple,4
263,Andaman,9,high,Relaxed,"urban hotspots,wildlife,art",Cellular Jail,5
264,Goa,9,low,Luxury,"shopping,architecture,nature",Dudhsagar Falls,5
265,Varanasi,10,low,Adventure,"nature,beaches,wildlife",Dashashwamedh Ghat,3
266,Shimla,3,high,Adventure,"architecture,adventure",Christ Church,4
267,Hampi,4,low,Aesthetic,"adventure,wildlife",Virupaksha Temple,5
268,Goa,7,low,Cultural,"nature,urban hotspots,adventure",Fort Aguada,3
269,Varanasi,8,medium,Luxury,"history,architecture,nature",Dashashwamedh Ghat,4
270,Agra,2,low,Romantic,adventure,Taj Mahal,5
271,Manali,14,low,Cultural,"shopping,nature",Hadimba Temple,5
272,Kolkata,2,medium,Luxury,"urban hotspots,spiritual",Dakshineswar Kali Temple,4
273,Delhi,6,medium,Adventure,"nature,architecture",India Gate,4
274,Kolkata,3,low,Romantic,"food,architecture",Victoria Memorial,4
275,Hampi,8,medium,Relaxed,"urban hotspots,wildlife,temples",Hampi Bazaar,4
276,Shimla,13,medium,Adventure,"beaches,entertainment,food",Kufri,4
277,Kolkata,6,low,Aesthetic,"beaches,urban hotspots",Victoria Memorial,4
278,Hyderabad,8,high,Adventure,architecture,Golconda Fort,5
279,Guwahati,9,medium,Busy,entertainment,Kaziranga National Park,4
280,Pondicherry,6,high,Relaxed,art,Auroville,5
281,Jaipur,4,high,Romantic,beaches,Hawa Mahal,4
282,Bangalore,12,medium,Busy,"nature,architecture",Cubbon Park,4
283,Kerala,4,low,Romantic,"food,adventure,wildlife",Munnar,5
284,Bodhgaya,5,high,Romantic,"urban hotspots,spiritual,shopping",Thai Monastery,4
285,Coorg,9,medium,Adventure,"entertainment,shopping",Nisargadhama,4
286,Hyderabad,3,medium,Romantic,"adventure,urban hotspots,temples",Charminar,3
287,Coorg,10,low,Adventure,beaches,Abbey Falls,4
288,Kerala,8,low,Relaxed,entertainment,Wayanad,5
289,Pondicherry,14,low,Cultural,"adventure,wildlife,art",Paradise Beach,3
290,Kerala,10,medium,Romantic,"urban hotspots,art",Alleppey Backwaters,4
291,Rishikesh,9,low,Luxury,spiritual,Laxman Jhula,5
292,Agra,11,high,Busy,art,Mehtab Bagh,4
293,Kerala,12,high,Cultural,"art,nature,wildlife",Alleppey Backwaters,3
294,Bangalore,10,medium,Cultural,"shopping,urban hotspots",Nandi Hills,5
295,Mumbai,9,medium,Foodie,"entertainment,nature",Gateway of India,4
296,Varanasi,13,low,Adventure,beaches,Ramnagar Fort,5
297,Hyderabad,9,high,Adventure,"nature,adventure",Salar Jung Museum,5
298,Agra,14,medium,Aesthetic,"shopping,history,spiritual",Itmad-ud-Daulah,4
299,Guwahati,7,medium,Busy,beaches,Kaziranga National Park,3
300,Jaisalmer,5,low,Adventure,"urban hotspots,history",Jaisalmer Fort,5
301,Pushkar,10,low,Luxury,"nature,art,adventure",Savitri Temple,4
302,Rishikesh,2,high,Relaxed,entertainment,Triveni Ghat,3
303,Coorg,4,low,Adventure,"shopping,food",Dubare Elephant Camp,3
304,Coorg,6,medium,Romantic,"urban hotspots,adventure",Nisargadhama,3
305,Sikkim,8,low,Foodie,"adventure,spiritual",Tsongmo Lake,5
306,Chennai,11,medium,Busy,"history,nature,urban hotspots",Guindy National Park,4
307,Coorg,7,low,Busy,"shopping,entertainment",Raja's Seat,5
308,Shimla,3,high,Adventure,entertainment,The Ridge,5
309,Delhi,9,low,Cultural,"temples,shopping,urban hotspots",Red Fort,3
310,Bangalore,8,high,Cultural,"spiritual,history,food",ISKCON Temple,5
311,Delhi,8,medium,Busy,art,Red Fort,5
312,Leh,2,high,Busy,"beaches,food",Pangong Lake,3
313,Kolkata,8,high,Cultural,"wildlife,history,spiritual",Dakshineswar Kali Temple,3
314,Kerala,8,low,Romantic,"adventure,food,art",Munnar,5
315,Goa,9,low,Relaxed,architecture,Calangute Beach,4
316,Mysore,11,medium,Adventure,"temples,entertainment,beaches",St. Philomena's Church,4
317,Bodhgaya,13,medium,Romantic,"shopping,architecture,entertainment",Bodhi Tree,3
318,Kolkata,5,high,Romantic,history,Dakshineswar Kali Temple,5
319,Varanasi,3,low,Busy,nature,Manikarnika Ghat,5
320,Udaipur,5,medium,Busy,"urban hotspots,wildlife",City Palace,4
321,Coorg,9,medium,Cultural,"beaches,temples,entertainment",Madikeri Fort,5
322,Mysore,10,low,Foodie,"urban hotspots,temples,beaches",Rail Museum,3
323,Pushkar,9,low,Romantic,spiritual,Brahma Temple,3
324,Jaipur,14,high,Relaxed,"wildlife,shopping",Amber Fort,4
325,Mysore,10,high,Foodie,"adventure,wildlife,food",Brindavan Gardens,3
326,Pondicherry,9,high,Luxury,"nature,architecture",Paradise Beach,4
327,Hyderabad,4,low,Busy,"food,history,spiritual",Salar Jung Museum,5
328,Goa,14,medium,Busy,"shopping,food",Anjuna Beach,4
329,Guwahati,8,low,Busy,"entertainment,art",Umananda Temple,3
330,Kolkata,10,low,Busy,"entertainment,nature,art",Howrah Bridge,4
331,Chennai,4,low,Foodie,nature,Kapaleeshwarar Temple,4
332,Darjeeling,4,high,Adventure,adventure,Batasia Loop,5
333,Delhi,9,high,Adventure,"temples,art",India Gate,5
334,Chennai,3,high,Romantic,entertainment,Fort St. George,3
335,Amritsar,4,high,Relaxed,"shopping,urban hotspots,spiritual",Wagah Border,5
336,Andaman,4,low,Foodie,"shopping,beaches,entertainment",Baratang Island,4
337,Hampi,7,high,Foodie,beaches,Lotus Mahal,5
338,Pushkar,14,medium,Luxury,adventure,Savitri Temple,4
339,Kolkata,11,high,Relaxed,beaches,Victoria Memorial,3
340,Leh,12,low,Relaxed,architecture,Magnetic Hill,4
341,Varanasi,7,low,Relaxed,adventure,Sarnath,3
342,Bodhgaya,9,low,Busy,spiritual,Karmapa Monastery,3
343,Kerala,9,medium,Relaxed,"urban hotspots,temples",Alleppey Backwaters,3
344,Jaipur,13,low,Luxury,"adventure,wildlife",Amber Fort,3
345,Kolkata,6,high,Romantic,"adventure,art,food",Dakshineswar Kali Temple,4
346,Andaman,8,medium,Luxury,"urban hotspots,spiritual",Havelock Island,5
347,Pushkar,5,high,Romantic,"shopping,architecture",Brahma Temple,4
348,Kolkata,12,low,Foodie,"urban hotspots,nature",Howrah Bridge,5
349,Mysore,13,high,Luxury,"nature,beaches",Brindavan Gardens,5
350,Shimla,14,high,Aesthetic,urban hotspots,Christ Church,3
351,Delhi,14,medium,Adventure,"spiritual,food",Humayun's Tomb,4
352,Leh,9,medium,Adventure,architecture,Shanti Stupa,3
353,Agra,10,high,Romantic,"entertainment,history,adventure",Taj Mahal,3
354,Darjeeling,12,medium,Busy,"shopping,architecture",Peace Pagoda,5
355,Mumbai,12,high,Relaxed,spiritual,Siddhivinayak Temple,5
356,Goa,6,medium,Romantic,"adventure,nature,food",Anjuna Beach,3
357,Jaisalmer,4,low,Romantic,"history,shopping",Salim Singh Ki Haveli,5
358,Rishikesh,5,medium,Adventure,"beaches,entertainment,wildlife",Triveni Ghat,3
359,Manali,11,high,Busy,"urban hotspots,food,architecture",Rohtang Pass,5
360,Pushkar,14,high,Busy,"nature,urban hotspots,spiritual",Pushkar Lake,5
361,Rishikesh,6,medium,Busy,"adventure,urban hotspots,architecture",Beatles Ashram,3
362,Chennai,11,low,Foodie,art,San Thome Basilica,3
363,Agra,4,low,Cultural,entertainment,Taj Mahal,4
364,Shimla,4,high,Romantic,"wildlife,entertainment,history",Mall Road,5
365,Guwahati,7,medium,Adventure,temples,Kamakhya Temple,5
366,Varanasi,13,medium,Romantic,beaches,Manikarnika Ghat,4
367,Pondicherry,9,low,Adventure,nature,Aurobindo Ashram,5
368,Amritsar,3,medium,Luxury,urban hotspots,Golden Temple,5
369,Rishikesh,3,medium,Busy,"adventure,shopping,urban hotspots",Laxman Jhula,5
370,Darjeeling,13,low,Cultural,"adventure,temples",Botanical Garden,4
371,Kerala,8,low,Romantic,"wildlife,adventure,history",Wayanad,5
372,Mumbai,3,low,Relaxed,"history,wildlife,art",Gateway of India,4
373,Shimla,3,high,Romantic,wildlife,Jakhoo Temple,3
374,Pondicherry,11,low,Relaxed,"beaches,spiritual",Promenade Beach,5
375,Bangalore,2,medium,Adventure,"wildlife,temples,entertainment",Bangalore Palace,4
376,Bodhgaya,10,high,Adventure,"architecture,nature,urban hotspots",Great Buddha Statue,5
377,Agra,3,high,Romantic,"entertainment,temples,art",Taj Mahal,5
378,Bangalore,11,high,Busy,"beaches,adventure,art",Bangalore Palace,5
379,Agra,14,low,Relaxed,"food,architecture",Itmad-ud-Daulah,3
